SNID,Age_global,Age_global_err,HR,HR_err,Age_median,Age_lower,Age_upper
762,8.0,3.9,0.15,0.08,7.970195841122891,1.769601999701229,9.530263125084359
1032,8.6,4.3,-0.15,0.12,8.617191145688519,1.7533339471203457,10.27293319555148
1371,8.1,1.3,-0.14,0.06,8.071166198725837,6.613811925683671,9.277128437748152
1794,2.0,0.9,0.27,0.08,1.954105277191864,1.2394295846136494,3.1061704486580552
2372,4.8,2.9,-0.12,0.07,4.805158890058904,1.9997568926698328,7.702445138191505
2440,4.2,0.7,0.2,0.08,4.191255370968234,3.3461536443638886,4.692240710337703
3087,2.4,1.1,-0.06,0.06,2.3994938561829406,1.5161181063380507,3.685129437469727
3317,4.4,1.7,-0.16,0.07,4.424056430724455,2.5130548030961704,5.9259125614878725
3592,2.4,1.2,0.0,0.06,2.4067725355799645,1.54324229845713,4.005144100977745
3674,7.8,3.7,0.45,0.13,7.787302671151643,1.9590686957817371,9.367507406777367
3901,1.2,0.3,0.0,0.08,1.206989204198891,0.935836505502012,1.6186466496835432
4019,4.6,1.5,-0.05,0.08,4.581266082402632,3.0913195769747723,5.9977678395735445
5103,3.4,1.2,-0.08,0.06,3.36704516392081,2.001977646495397,4.325302900563532
5550,1.3,0.5,0.14,0.07,1.319334534725893,1.0173955742535856,2.0091505269066534
5751,5.9,2.7,-0.04,0.06,5.9487371499619615,2.250318646323943,7.750224696476159
5890,5.3,2.2,0.12,0.08,5.284078299568628,2.3631887719966755,6.7718734231942355
5916,6.0,2.3,-0.21,0.07,6.040716715443774,2.700864346331459,7.222654457423891
5944,6.0,0.7,0.12,0.08,6.048079447277658,5.290344167818576,6.686269371696453
6057,4.8,1.0,-0.07,0.09,4.806917473672771,3.8618977293140455,5.912322642178552
6406,3.7,1.7,-0.1,0.07,3.689635348560023,2.074726934455448,5.56004966270256
6422,3.1,1.2,0.05,0.07,3.090816049955074,2.0329023473560888,4.445252079551754
6530,7.9,3.7,-0.13,0.1,7.872563600524237,2.089349866700696,9.397647724781196
6558,6.5,2.6,0.06,0.08,6.516500245182541,3.150709950992218,8.308662448535937
6936,5.0,1.3,0.0,0.07,4.974526421212727,3.57722100495928,6.105785388728937
6962,3.2,3.1,-0.04,0.07,3.159981152247077,1.7362262195187272,7.920805423059758
7147,9.2,4.2,-0.18,0.08,9.178598504325347,2.117933379344316,10.614621727296969
7600,7.9,3.8,-0.3,0.1,7.856957016442957,1.8642464121232984,9.371167289336702
7876,1.3,0.5,0.01,0.07,1.2525255124576262,0.8939735097429727,1.936155121380208
8213,7.4,3.6,-0.24,0.09,7.359682432921287,1.9156148296567803,9.173704975378769
8254,4.1,0.9,0.07,0.11,4.062677391503374,2.9139129194972364,4.726446473381396
8555,4.1,1.4,0.19,0.1,4.109959232113228,2.541685274478705,5.285240710982907
8719,4.7,1.0,0.04,0.06,4.668116255385567,3.5211875114329727,5.496536098523434
8921,3.4,1.0,0.09,0.07,3.3774169488094405,2.3965241583237775,4.45575593218151
10028,6.0,0.9,-0.21,0.09,5.987830351206979,5.125560300062476,6.830517380071893
10805,6.0,0.6,-0.12,0.1,5.985068495727341,5.27997908111352,6.569196380947292
11172,4.5,0.4,0.24,0.1,4.471951817510618,4.00528345109426,4.729496232412973
12860,7.3,1.1,0.01,0.07,7.343156335711264,6.2280053651893805,8.475491781490456
12898,6.1,1.8,0.03,0.06,6.1237689638173,3.5654330928881484,7.074425417691428
12950,2.0,0.5,0.09,0.06,1.9969092465376548,1.5588881068167524,2.5400883894694166
13135,9.5,1.1,-0.08,0.07,9.50551072447715,8.178792473748357,10.30240667823666
13354,4.9,0.6,-0.04,0.08,4.920282960336804,4.164415621167072,5.42815410868752
13736,3.3,1.2,0.1,0.06,3.278618654504952,2.0795956092432983,4.498881432203746
13896,2.6,1.2,0.48,0.09,2.6287061696807648,1.633444259072576,4.066172230515797
14279,7.4,0.7,-0.24,0.1,7.44739927921664,6.686532532619983,8.122729232742335
14284,4.2,0.6,-0.34,0.08,4.2498799340789715,3.5147935479974546,4.732692583881418
14377,5.9,0.8,0.13,0.08,5.92499750296923,5.023793467721585,6.59273747359311
14421,8.5,4.1,0.3,0.08,8.464217423135755,1.6122652954439742,9.903284286116877
14437,7.4,3.7,-0.04,0.06,7.378993891018164,2.0979703051195333,9.437019247131811
